checked_at,type,title,price,part_number,url
2026-08-01T12:36:53+09:00,imac,24インチiMac [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ、ギガビットEthernet - グリーン,244800,FWUY3J/A,https://www.apple.com/jp/shop/product/fwuy3j/a/24%E3%82%A4%E3%83%B3%E3%83%81imac-%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81-10%E3%82%B3%E3%82%A2cpu%E3%81%A810%E3%82%B3%E3%82%A2gpu%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9Fapple-m4%E3%83%81%E3%83%83%E3%83%97-%E3%82%AE%E3%82%AC%E3%83%93%E3%83%83%E3%83%88ethernet-%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,imac,24インチiMac [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ、ギガビットEthernet - ブルー,244800,FWV13J/A,https://www.apple.com/jp/shop/product/fwv13j/a/24%E3%82%A4%E3%83%B3%E3%83%81imac-%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81-10%E3%82%B3%E3%82%A2cpu%E3%81%A810%E3%82%B3%E3%82%A2gpu%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9Fapple-m4%E3%83%81%E3%83%83%E3%83%97-%E3%82%AE%E3%82%AC%E3%83%93%E3%83%83%E3%83%88ethernet-%E3%83%96%E3%83%AB%E3%83%BC?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,imac,24インチiMac [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ、ギガビットEthernet - ピンク,244800,FWV43J/A,https://www.apple.com/jp/shop/product/fwv43j/a/24%E3%82%A4%E3%83%B3%E3%83%81imac-%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81-10%E3%82%B3%E3%82%A2cpu%E3%81%A810%E3%82%B3%E3%82%A2gpu%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9Fapple-m4%E3%83%81%E3%83%83%E3%83%97-%E3%82%AE%E3%82%AC%E3%83%93%E3%83%83%E3%83%88ethernet-%E3%83%94%E3%83%B3%E3%82%AF?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - スターライト,253800,G1LT0J/A,https://www.apple.com/jp/shop/product/g1lt0j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - ミッドナイト,253800,G1LW0J/A,https://www.apple.com/jp/shop/product/g1lw0j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - スカイブルー,253800,G1LZ0J/A,https://www.apple.com/jp/shop/product/g1lz0j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ - スターライト,256800,G1DF0J/A,https://www.apple.com/jp/shop/product/g1df0j/a/15%E3%82%A4%E3%83%B3%E3%83%81MacBook-Air-%5B%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81%5D-10%E3%82%B3%E3%82%A2CPU%E3%81%A810%E3%82%B3%E3%82%A2GPU%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9FApple-M4-%E3%83%81%E3%83%83%E3%83%97-%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%88?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ - スカイブルー,256800,G1HE0J/A,https://www.apple.com/jp/shop/product/g1he0j/a/15%E3%82%A4%E3%83%B3%E3%83%81MacBook-Air-%5B%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81%5D-10%E3%82%B3%E3%82%A2CPU%E3%81%A810%E3%82%B3%E3%82%A2GPU%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9FApple-M4-%E3%83%81%E3%83%83%E3%83%97-%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%96%E3%83%AB%E3%83%BC?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - シルバー,270800,FDVA4J/A,https://www.apple.com/jp/shop/product/fdva4j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - スターライト,270800,FDVE4J/A,https://www.apple.com/jp/shop/product/fdve4j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
